name,city,state,phone,website,address,description,services,verified,pricing_estimated
"Gentle Giant Moving Company","Seattle","Washington","(206) 414-4287","https://gentlegiant.com","Seattle, WA","Premium moving company with highly trained crews. Known for careful handling and customer service.","1:$500-$800|2:$1100-$2500|4:$2800-$5000|5:$4500-$10000","false","true"
"PODS Moving & Storage","Dallas","Texas","(877) 770-7637","https://pods.com","Dallas, TX","Portable moving containers. Load at your own pace and they deliver to your new home.","1:$400-$750|2:$1000-$2000|4:$2500-$4500|5:$3500-$8000","false","true"
"Two Men and a Truck","Dallas","Texas","(972) 900-4190","https://twomenandatruck.com","Dallas, TX","National franchise with Dallas crews. Full-service residential and commercial moving.","1:$400-$750|2:$950-$2100|4:$2500-$4800|5:$4000-$9000","false","true"
"Einstein Moving Company","Dallas","Texas","(972) 703-8047","https://einsteinmoving.com","Dallas, TX","Texas-based moving company expanding across the state. Professional crews and transparent pricing.","1:$400-$700|2:$900-$1800|4:$2500-$4500|5:$3500-$8000","false","true"
"College Hunks Hauling Junk & Moving","Dallas","Texas","(972) 291-3700","https://collegehunkshaulingjunk.com","Dallas, TX","Moving and junk removal with uniformed, trained crews. Book online for transparent pricing.","1:$400-$750|2:$1000-$2200|4:$2500-$5000|5:$4000-$9000","false","true"
"All My Sons Moving & Storage","Dallas","Texas","(972) 580-4041","https://allmysons.com","Dallas, TX","National mover with local Dallas operations. Residential and commercial full-service moves.","1:$400-$700|2:$950-$2100|4:$2500-$4500|5:$3500-$8500","false","true"
"U-Pack","Dallas","Texas","(844) 611-4582","https://upack.com","Dallas, TX","You pack, they drive. Affordable long-distance moves with containers or trailers.","1:$350-$650|2:$850-$1700|4:$2000-$3800|5:$3000-$7000","false","true"
"Gentle Giant Moving Company","Boston","Massachusetts","(617) 661-4600","https://gentlegiant.com","21 Eliot St, South Boston, MA 02127","Premium Boston movers with highly trained athletic crews. Residential and commercial moving.","1:$500-$800|2:$1200-$2500|4:$3000-$5000|5:$4500-$10000","false","true"
"Two Men and a Truck","Boston","Massachusetts","(617) 500-4190","https://twomenandatruck.com","Boston, MA","National franchise with Boston-area crews. Full-service local and long-distance moves.","1:$450-$800|2:$1100-$2400|4:$2800-$5000|5:$4000-$10000","false","true"
"Stairhopper Movers","Boston","Massachusetts","(857) 928-0876","https://stairhoppermovers.com","Boston, MA","Top-rated Boston movers specializing in navigating narrow staircases and tight spaces.","1:$450-$800|2:$1000-$2200|4:$2500-$4800|5:$4000-$9000","false","true"
"Olympia Moving & Storage","Boston","Massachusetts","(800) 222-4744","https://olympiamoving.com","Boston, MA","Full-service moving and storage for Boston residential and commercial relocations.","1:$450-$750|2:$1000-$2200|4:$2500-$4800|5:$4000-$9000","false","true"
"Allied Van Lines","San Francisco","California","(800) 689-8684","https://allied.com","San Francisco, CA","National van line offering full-service local and long-distance moves with experienced crews.","1:$500-$800|2:$1200-$2500|4:$3000-$5000|5:$4000-$10000","false","true"
"Delancey Street Movers","San Francisco","California","(415) 512-5104","https://delanceystreetfoundation.org","San Francisco, CA","Nonprofit moving company providing affordable, reliable moves in the Bay Area.","1:$350-$650|2:$800-$1700|4:$2200-$4000","false","true"
"NorthStar Moving Company","San Francisco","California","(800) 275-7767","https://northstarmoving.com","San Francisco, CA","Luxury eco-friendly moving company. Full-service residential and commercial moves.","1:$500-$800|2:$1200-$2500|4:$3000-$5000|5:$4500-$10000","false","true"
"Two Men and a Truck","San Francisco","California","(415) 900-4190","https://twomenandatruck.com","San Francisco, CA","National franchise with Bay Area crews. Full-service residential and commercial moves.","1:$450-$800|2:$1100-$2400|4:$2800-$5000|5:$4000-$10000","false","true"
"Mayflower Moving","San Francisco","California","(833) 537-9514","https://mayflower.com","San Francisco, CA","One of America's most trusted moving companies since 1927. Full-service local and cross-country moves.","1:$500-$800|2:$1200-$2500|4:$3000-$5000|5:$4500-$10000","false","true"
"Two Men and a Truck","Nashville","Tennessee","(615) 900-4190","https://twomenandatruck.com","Nashville, TN","National franchise with Nashville crews. Full-service local and long-distance moves.","1:$400-$700|2:$900-$2000|4:$2500-$4500|5:$3500-$8500","false","true"
"Bellhop Moving","Nashville","Tennessee","(615) 592-6466","https://getbellhops.com","Nashville, TN","Tech-enabled moving company. Book online with transparent pricing and trained crews.","1:$350-$650|2:$800-$1800|4:$2200-$4200|5:$3500-$8000","false","true"
"All My Sons Moving & Storage","Nashville","Tennessee","(615) 580-4041","https://allmysons.com","Nashville, TN","National mover with Nashville operations. Full-service residential and commercial moves.","1:$400-$700|2:$900-$2000|4:$2500-$4500|5:$3500-$8000","false","true"
"College Hunks Hauling Junk & Moving","Nashville","Tennessee","(615) 291-3700","https://collegehunkshaulingjunk.com","Nashville, TN","Moving and junk removal services. Professional, uniformed crews.","1:$400-$750|2:$1000-$2200|4:$2500-$5000|5:$4000-$9000","false","true"
"Two Men and a Truck","Minneapolis","Minnesota","(612) 900-4190","https://twomenandatruck.com","Minneapolis, MN","National franchise serving the Twin Cities. Full-service local and long-distance moves.","1:$400-$750|2:$950-$2100|4:$2500-$4800|5:$4000-$9000","false","true"
"Mestler Brothers Moving","Minneapolis","Minnesota","(612) 455-0500","https://mestlerbros.com","Minneapolis, MN","Locally owned Twin Cities mover. Residential and commercial moves with upfront pricing.","1:$350-$650|2:$800-$1800|4:$2200-$4200","false","true"
"AAA Moving & Storage","Minneapolis","Minnesota","(763) 755-5600","https://aaamoving.com","Minneapolis, MN","Full-service moving and storage in the Minneapolis-St Paul metro area since 1965.","1:$400-$700|2:$900-$2000|4:$2400-$4500|5:$3500-$8000","false","true"
"PODS Moving & Storage","Minneapolis","Minnesota","(877) 770-7637","https://pods.com","Minneapolis, MN","Portable storage containers for DIY moves. Delivered to your door, picked up when ready.","1:$400-$750|2:$1000-$2000|4:$2500-$4500|5:$3500-$8000","false","true"
"Two Men and a Truck","Portland","Oregon","(503) 900-4190","https://twomenandatruck.com","Portland, OR","National franchise with Portland crews. Full-service local and long-distance moves.","1:$400-$750|2:$950-$2100|4:$2500-$4800|5:$4000-$9000","false","true"
"Smooth Moves","Portland","Oregon","(503) 444-1100","https://smoothmovespdx.com","Portland, OR","Portland's favorite local movers. Residential moves with careful, trained crews.","1:$350-$650|2:$800-$1800|4:$2200-$4200","false","true"
"All Service Moving","Portland","Oregon","(503) 802-9297","https://allservicemoving.com","Portland, OR","Full-service Portland movers. Residential, commercial, and long-distance moves with storage.","1:$400-$700|2:$900-$2000|4:$2400-$4500|5:$3500-$8000","false","true"
"Bridgetown Moving & Storage","Portland","Oregon","(503) 567-3200","https://bridgetownmoving.com","Portland, OR","Locally owned Portland moving company with packing, moving, and storage services.","1:$350-$650|2:$800-$1800|4:$2200-$4200|5:$3000-$7500","false","true"
"Two Men and a Truck","Charlotte","North Carolina","(704) 900-4190","https://twomenandatruck.com","Charlotte, NC","National franchise with Charlotte crews. Full-service residential and commercial moves.","1:$400-$700|2:$950-$2100|4:$2500-$4800|5:$4000-$9000","false","true"
"All My Sons Moving & Storage","Charlotte","North Carolina","(704) 580-4041","https://allmysons.com","Charlotte, NC","National mover with Charlotte operations. Full-service local and long-distance moves.","1:$400-$700|2:$900-$2000|4:$2500-$4500|5:$3500-$8000","false","true"
"College Hunks Hauling Junk & Moving","Charlotte","North Carolina","(704) 291-3700","https://collegehunkshaulingjunk.com","Charlotte, NC","Moving and junk removal in Charlotte. Professional uniformed crews.","1:$400-$750|2:$1000-$2200|4:$2500-$5000|5:$4000-$9000","false","true"
"Bellhop Moving","Charlotte","North Carolina","(704) 592-6466","https://getbellhops.com","Charlotte, NC","Tech-enabled movers with transparent pricing. Book your Charlotte move online.","1:$350-$650|2:$800-$1800|4:$2200-$4200|5:$3500-$8000","false","true"
"PODS Moving & Storage","San Diego","California","(877) 770-7637","https://pods.com","San Diego, CA","Portable moving and storage containers. Load at your pace, they handle delivery.","1:$400-$750|2:$1000-$2000|4:$2500-$4500|5:$3500-$8000","false","true"
"Two Men and a Truck","San Diego","California","(858) 900-4190","https://twomenandatruck.com","San Diego, CA","National franchise with San Diego crews. Full-service local and long-distance moves.","1:$400-$800|2:$1000-$2300|4:$2500-$5000|5:$4000-$9000","false","true"
"Best Fit Movers","San Diego","California","(858) 503-0003","https://bestfitmovers.com","San Diego, CA","San Diego's top-rated local movers. Residential and commercial moves with competitive rates.","1:$350-$700|2:$900-$2000|4:$2400-$4500|5:$3500-$8000","false","true"
"Republic Moving","San Diego","California","(619) 825-5580","https://republicmoving.com","San Diego, CA","Full-service moving company serving San Diego. Residential, office, and long-distance moves.","1:$400-$750|2:$1000-$2200|4:$2500-$4800|5:$3500-$8500","false","true"
"North American Van Lines","Indianapolis","Indiana","(800) 228-3092","https://northamerican.com","Indianapolis, IN","One of America's largest van lines. Full-service residential and corporate relocations nationwide.","1:$450-$800|2:$1100-$2400|4:$2800-$5000|5:$4000-$10000","false","true"
"Two Men and a Truck","Indianapolis","Indiana","(317) 900-4190","https://twomenandatruck.com","Indianapolis, IN","National franchise headquartered in the Midwest. Full-service local and long-distance moves.","1:$350-$700|2:$900-$2000|4:$2400-$4500|5:$3500-$8500","false","true"
"All My Sons Moving & Storage","Indianapolis","Indiana","(317) 580-4041","https://allmysons.com","Indianapolis, IN","National mover with Indianapolis operations. Residential and commercial full-service moves.","1:$350-$700|2:$900-$2000|4:$2400-$4500|5:$3500-$8000","false","true"
"U-Pack","Indianapolis","Indiana","(844) 611-4582","https://upack.com","Indianapolis, IN","You pack, they drive. Budget-friendly long-distance moves with containers or trailers.","1:$300-$600|2:$750-$1500|4:$1800-$3500|5:$3000-$7000","false","true"
"Two Men and a Truck","Columbus","Ohio","(614) 900-4190","https://twomenandatruck.com","Columbus, OH","National franchise with Columbus crews. Full-service residential and commercial moves.","1:$350-$700|2:$900-$2000|4:$2400-$4500|5:$3500-$8500","false","true"
"Leaders Moving & Storage","Columbus","Ohio","(614) 326-2700","https://leadersmoving.com","Columbus, OH","Ohio's premier moving company. Residential and commercial moves with white-glove service.","1:$400-$700|2:$900-$2000|4:$2500-$4500|5:$3500-$8500","false","true"
"All My Sons Moving & Storage","Columbus","Ohio","(614) 580-4041","https://allmysons.com","Columbus, OH","National mover with Columbus operations. Full-service residential and commercial moves.","1:$350-$700|2:$900-$2000|4:$2400-$4500|5:$3500-$8000","false","true"
"Two Men and a Truck","Raleigh","North Carolina","(919) 900-4190","https://twomenandatruck.com","Raleigh, NC","National franchise with Raleigh crews. Full-service local and long-distance moves.","1:$350-$700|2:$900-$2000|4:$2400-$4500|5:$3500-$8500","false","true"
"College Hunks Hauling Junk & Moving","Raleigh","North Carolina","(919) 291-3700","https://collegehunkshaulingjunk.com","Raleigh, NC","Moving and junk removal in the Triangle. Professional, uniformed crews.","1:$400-$700|2:$950-$2100|4:$2500-$4800|5:$3500-$8500","false","true"
"All My Sons Moving & Storage","Raleigh","North Carolina","(919) 580-4041","https://allmysons.com","Raleigh, NC","National mover with Raleigh operations. Full-service residential and commercial moves.","1:$350-$700|2:$900-$2000|4:$2400-$4500|5:$3500-$8000","false","true"
"Bellhop Moving","Raleigh","North Carolina","(919) 592-6466","https://getbellhops.com","Raleigh, NC","Tech-enabled movers with transparent online booking. Fast, professional crews.","1:$350-$650|2:$800-$1800|4:$2200-$4200|5:$3500-$8000","false","true"
"Two Men and a Truck","Tampa","Florida","(813) 900-4190","https://twomenandatruck.com","Tampa, FL","National franchise with Tampa Bay crews. Full-service local and long-distance moves.","1:$350-$700|2:$900-$2000|4:$2400-$4500|5:$3500-$8500","false","true"
"College Hunks Hauling Junk & Moving","Tampa","Florida","(813) 291-3700","https://collegehunkshaulingjunk.com","Tampa, FL","Founded in Tampa. Moving and junk removal with professional, uniformed crews.","1:$400-$750|2:$1000-$2200|4:$2500-$5000|5:$4000-$9000","false","true"
"All My Sons Moving & Storage","Tampa","Florida","(813) 580-4041","https://allmysons.com","Tampa, FL","National mover with Tampa operations. Full-service residential and commercial moves.","1:$350-$700|2:$900-$2000|4:$2400-$4500|5:$3500-$8000","false","true"
"Bellhop Moving","Tampa","Florida","(813) 592-6466","https://getbellhops.com","Tampa, FL","Tech-forward movers with online booking. Transparent pricing and trained crews.","1:$350-$650|2:$800-$1800|4:$2200-$4200|5:$3500-$8000","false","true"
"Two Men and a Truck","San Antonio","Texas","(210) 900-4190","https://twomenandatruck.com","San Antonio, TX","National franchise with San Antonio crews. Full-service local and long-distance moves.","1:$350-$700|2:$900-$2000|4:$2400-$4500|5:$3500-$8500","false","true"
"3 Men Movers","San Antonio","Texas","(210) 333-6683","https://3menmovers.com","San Antonio, TX","Texas-based moving company. Residential and commercial moves with packing and storage.","1:$350-$650|2:$800-$1800|4:$2200-$4200|5:$3500-$7500","false","true"
"All My Sons Moving & Storage","San Antonio","Texas","(210) 580-4041","https://allmysons.com","San Antonio, TX","National mover with San Antonio operations. Full-service moves.","1:$350-$700|2:$900-$2000|4:$2400-$4500|5:$3500-$8000","false","true"
"U-Pack","San Antonio","Texas","(844) 611-4582","https://upack.com","San Antonio, TX","You pack, they drive. Budget-friendly moving with portable containers.","1:$300-$600|2:$750-$1500|4:$1800-$3500|5:$3000-$7000","false","true"
